"rows","cols","seed","sparsity","human","environment","animal","ocean"
1000,10000,1,0.9922039,0.7154,0.1467,0.0891,0.0488
10000,10000,1,0.99193777,0.7164,0.1538,0.0887,0.0411
10,1e+05,1,0.893462,0.83274,0.01011,0.15432,0.00283
100,1e+05,1,0.9788099,0.70633,0.08204,0.13034,0.08129
1000,1e+05,1,0.99213883,0.7137,0.14556,0.09118,0.04956
10000,1e+05,1,0.991861965,0.71538,0.1523,0.08744,0.04488
10,10,2,0.9,0,0.2,0.4,0.4
100,10,2,0.981,0.3,0.3,0.3,0.1
1000,10,2,0.9918,0.7,0.3,0,0
10000,10,2,0.99479,0.7,0.2,0,0.1
10,100,2,0.894,0.11,0.18,0.34,0.37
100,100,2,0.9799,0.41,0.21,0.21,0.17
1000,100,2,0.99267,0.8,0.11,0.05,0.04
10000,100,2,0.992672,0.68,0.16,0.11,0.05
10,1000,2,0.8958,0.136,0.174,0.262,0.428
100,1000,2,0.98135,0.455,0.214,0.184,0.147
1000,1000,2,0.992556,0.721,0.139,0.083,0.057
10000,1000,2,0.9920359,0.666,0.163,0.11,0.061
10,10000,2,0.89611,0.1356,0.1855,0.272,0.4069
100,10000,2,0.981785,0.4544,0.2107,0.1859,0.149
1000,10000,2,0.992486,0.7344,0.1312,0.0895,0.0449
10000,10000,2,0.99203547,0.71,0.1485,0.0908,0.0507
10,1e+05,2,0.896217,0.13545,0.18247,0.27111,0.41097
100,1e+05,2,0.9815872,0.44786,0.21405,0.18902,0.14907
1000,1e+05,2,0.99246495,0.73118,0.13405,0.08794,0.04683
10000,1e+05,2,0.992044199,0.71328,0.15173,0.08828,0.04671
10,10,3,0.89,0,0.1,0.8,0.1
100,10,3,0.983,0.9,0,0.1,0
1000,10,3,0.9892,1,0,0,0
10000,10,3,0.99162,0.6,0.3,0,0.1
10,100,3,0.888,0.01,0.06,0.71,0.22
100,100,3,0.9813,0.77,0.02,0.14,0.07
1000,100,3,0.99016,0.8,0.12,0.04,0.04
10000,100,3,0.992309,0.65,0.22,0.1,0.03
10,1000,3,0.8838,0.008,0.028,0.724,0.24
100,1000,3,0.98226,0.792,0.07,0.084,0.054
1000,1000,3,0.988842,0.728,0.123,0.093,0.056
10000,1000,3,0.992029,0.696,0.16,0.099,0.045
10,10000,3,0.88378,0.0043,0.0222,0.7198,0.2537
100,10000,3,0.982392,0.7819,0.069,0.0918,0.0573
1000,10000,3,0.9888873,0.7236,0.1379,0.0925,0.046
10000,10000,3,0.99188641,0.7208,0.1506,0.0845,0.0441
10,1e+05,3,0.882955,0.0043,0.02128,0.72337,0.25105
100,1e+05,3,0.9824895,0.78013,0.06825,0.09503,0.05659
1000,1e+05,3,0.98896735,0.72706,0.13564,0.0897,0.0476
10000,1e+05,3,0.991942584,0.71442,0.15224,0.0889,0.04444
10,10,4,0.9,0.1,0.1,0.6,0.2
100,10,4,0.986,0.7,0.1,0.1,0.1
1000,10,4,0.9893,0.7,0.2,0.1,0
10000,10,4,0.99274,0.9,0,0.1,0
10,100,4,0.899,0.25,0.14,0.43,0.18
100,100,4,0.982,0.45,0.18,0.25,0.12
1000,100,4,0.99124,0.67,0.17,0.09,0.07
10000,100,4,0.993132,0.69,0.14,0.12,0.05
10,1000,4,0.8985,0.243,0.175,0.438,0.144
100,1000,4,0.98343,0.478,0.204,0.18,0.138
1000,1000,4,0.990695,0.69,0.144,0.092,0.074
10000,1000,4,0.9920799,0.728,0.135,0.087,0.05
10,10000,4,0.89885,0.2258,0.1692,0.4499,0.1551
100,10000,4,0.983208,0.4762,0.1971,0.1767,0.15
1000,10000,4,0.9909032,0.7016,0.1465,0.0959,0.056
10000,10000,4,0.99208107,0.7286,0.1444,0.0882,0.0388
10,1e+05,4,0.898902,0.22461,0.17026,0.44879,0.15634
100,1e+05,4,0.9832627,0.47243,0.19867,0.1833,0.1456
1000,1e+05,4,0.99097335,0.69867,0.151,0.09729,0.05304
10000,1e+05,4,0.992033352,0.7149,0.15042,0.0883,0.04638
10,10,5,0.9,0.7,0,0.2,0.1
100,10,5,0.985,0.8,0.1,0.1,0
1000,10,5,0.9887,0.7,0.1,0,0.2
10000,10,5,0.9913,0.8,0,0.1,0.1
10,100,5,0.9,0.6,0.09,0.21,0.1
100,100,5,0.9837,0.77,0.05,0.14,0.04
1000,100,5,0.98986,0.66,0.2,0.04,0.1
10000,100,5,0.992245,0.71,0.12,0.13,0.04
10,1000,5,0.8993,0.542,0.124,0.194,0.14
100,1000,5,0.98381,0.671,0.131,0.143,0.055
1000,1000,5,0.989516,0.735,0.127,0.091,0.047
10000,1000,5,0.9918118,0.714,0.151,0.088,0.047
10,10000,5,0.89891,0.517,0.1319,0.2037,0.1474
100,10000,5,0.984048,0.6586,0.1334,0.1398,0.0682
1000,10000,5,0.9897592,0.713,0.1451,0.0928,0.0491
10000,10000,5,0.99184228,0.7155,0.1474,0.0884,0.0487
10,1e+05,5,0.899091,0.5142,0.13419,0.19876,0.15285
100,1e+05,5,0.9839177,0.65208,0.1365,0.14199,0.06943
1000,1e+05,5,0.98972047,0.71727,0.14208,0.09079,0.04986
10000,1e+05,5,0.991862915,0.71366,0.15098,0.08822,0.04714
10,10,6,0.9,0.3,0.4,0.1,0.2
100,10,6,0.987,0.8,0,0.1,0.1
1000,10,6,0.9939,0.8,0.2,0,0
10000,10,6,0.99403,0.6,0.2,0.2,0
10,100,6,0.893,0.21,0.43,0.07,0.29
100,100,6,0.9841,0.57,0.24,0.11,0.08
1000,100,6,0.99397,0.7,0.18,0.06,0.06
10000,100,6,0.992133,0.66,0.22,0.06,0.06
10,1000,6,0.8927,0.223,0.392,0.113,0.272
100,1000,6,0.98418,0.558,0.18,0.15,0.112
1000,1000,6,0.991769,0.719,0.138,0.089,0.054
10000,1000,6,0.9920344,0.693,0.162,0.086,0.059
10,10000,6,0.89172,0.2233,0.3853,0.0933,0.2981
100,10000,6,0.984168,0.5528,0.1794,0.1597,0.1081
1000,10000,6,0.9918917,0.7159,0.1457,0.0889,0.0495
10000,10000,6,0.99186244,0.709,0.1501,0.0936,0.0473
10,1e+05,6,0.891715,0.22697,0.37928,0.09892,0.29483
100,1e+05,6,0.9841052,0.54906,0.18565,0.15452,0.11077
1000,1e+05,6,0.99187863,0.72576,0.13871,0.08651,0.04902
10000,1e+05,6,0.991943117,0.71301,0.15141,0.08987,0.04571
10,10,7,0.9,0.2,0.5,0.1,0.2
100,10,7,0.972,0.3,0.4,0.2,0.1
1000,10,7,0.9908,0.9,0.1,0,0
10000,10,7,0.99551,0.8,0.2,0,0
10,100,7,0.9,0.19,0.37,0.1,0.34
100,100,7,0.9755,0.69,0.12,0.15,0.04
1000,100,7,0.99187,0.75,0.16,0.08,0.01
10000,100,7,0.992205,0.88,0.07,0.04,0.01
10,1000,7,0.8997,0.136,0.37,0.079,0.415
100,1000,7,0.97638,0.723,0.125,0.088,0.064
1000,1000,7,0.989863,0.749,0.131,0.086,0.034
10000,1000,7,0.99212,0.736,0.141,0.081,0.042
10,10000,7,0.89939,0.1432,0.3739,0.064,0.4189
100,10000,7,0.977069,0.7226,0.1152,0.0991,0.0631
1000,10000,7,0.9894267,0.7251,0.1422,0.0878,0.0449
10000,10000,7,0.99203401,0.7129,0.1547,0.0856,0.0468
10,1e+05,7,0.899335,0.14101,0.37579,0.06282,0.42038
100,1e+05,7,0.977059,0.7268,0.11804,0.09321,0.06195
1000,1e+05,7,0.98927098,0.72486,0.13801,0.08878,0.04835
10000,1e+05,7,0.991843238,0.71209,0.15105,0.09072,0.04614
10,10,8,0.9,0.2,0.1,0.6,0.1
100,10,8,0.99,0.7,0.2,0,0.1
1000,10,8,0.9912,0.6,0.3,0,0.1
10000,10,8,0.99025,0.8,0.2,0,0
10,100,8,0.897,0.33,0.07,0.59,0.01
100,100,8,0.9813,0.54,0.16,0.18,0.12
1000,100,8,0.99192,0.67,0.21,0.09,0.03
10000,100,8,0.990638,0.75,0.13,0.1,0.02
10,1000,8,0.8973,0.394,0.053,0.538,0.015
100,1000,8,0.98186,0.54,0.201,0.173,0.086
1000,1000,8,0.992334,0.723,0.162,0.07,0.045
10000,1000,8,0.9917364,0.693,0.16,0.099,0.048
10,10000,8,0.89736,0.371,0.0538,0.5631,0.0121
100,10000,8,0.981556,0.519,0.2042,0.1917,0.0851
1000,10000,8,0.9916944,0.7097,0.149,0.0912,0.0501
10000,10000,8,0.99182675,0.7088,0.1567,0.0897,0.0448
10,1e+05,8,0.897221,0.36481,0.05062,0.57163,0.01294
100,1e+05,8,0.981464,0.51816,0.2074,0.18744,0.087
1000,1e+05,8,0.99162479,0.71335,0.14516,0.09144,0.05005
10000,1e+05,8,0.991839063,0.71266,0.15269,0.08955,0.0451
10,10,9,0.89,0,0.4,0.2,0.4
100,10,9,0.979,0.8,0.1,0.1,0
1000,10,9,0.9894,0.7,0.1,0.1,0.1
10000,10,9,0.98875,0.6,0.1,0.2,0.1
10,100,9,0.893,0.03,0.27,0.36,0.34
100,100,9,0.9799,0.75,0.1,0.13,0.02
1000,100,9,0.98908,0.68,0.13,0.15,0.04
10000,100,9,0.990394,0.75,0.13,0.1,0.02
10,1000,9,0.8917,0.024,0.323,0.39,0.263
100,1000,9,0.98006,0.764,0.074,0.12,0.042
1000,1000,9,0.989768,0.715,0.132,0.102,0.051
10000,1000,9,0.9919142,0.708,0.145,0.09,0.057
10,10000,9,0.89243,0.0287,0.3175,0.3934,0.2604
100,10000,9,0.980656,0.7684,0.0825,0.107,0.0421
1000,10000,9,0.9901293,0.7213,0.1385,0.0915,0.0487
10000,10000,9,0.99212974,0.7192,0.1525,0.0848,0.0435
10,1e+05,9,0.892789,0.02825,0.31559,0.38741,0.26875
100,1e+05,9,0.9807675,0.77425,0.07979,0.1039,0.04206
1000,1e+05,9,0.99024714,0.72346,0.13773,0.08948,0.04933
10000,1e+05,9,0.991970152,0.71217,0.15248,0.0892,0.04615
